Player	Pos	Tm	Salary_Cap_Million
Austin Davis	QB	SEA	6
Josh Bynes	LB	ARI	65
Brandon Williams	TE	IND	20
Geno Smith	QB	NYG	46
Chris Carter	DL	WAS	37
Colin Jones	DB	CAR	6
Josh Bellamy	WR	CHI	53
Terence Garvin	LB	SEA	18
Brian Quick	WR	WAS	5
Jaron Brown	WR	ARI	72
Rashaan Melvin	CB	IND	9
Zach Ertz	TE	PHI	56
Coty Sensabaugh	CB	PIT	50
Julian Stanford	LB	NYJ	49
Brandon Williams	DT	BAL	39
A.Q. Shipley	C	ARI	6
John Jenkins	DT	CHI	10
Jimmy Smith	CB	BAL	34
Taiwan Jones	RB	BUF	50
Wes Horton	DE	CAR	50
Sam Acho	OLB	CHI	49
Randy Bullock	K	CIN	27
Dennis Kelly	OT	TEN	33
Bruce Carter	LB	NYJ	57
Cameron Heyward	DE	PIT	43
Amini Silatolu	T	CAR	33
Blidi Wreh-Wilson	CB	ATL	50
Brock Osweiler	QB	DEN	67
Jordan Todman	RB	HOU	39
Josh LeRibeus	G	NOR	9
Rafael Bush	S	NOR	49
Oday Aboushi	OT	SEA	14
Tyrunn Walker	DL	LAR	22
Andre Ellington	RB	2TM	51
Ryan Davis	DE	BUF	79
Darryl Morris	CB	NYG	72
J.T. Thomas	LB	NYG	78
Jake McQuaide	LS	LAR	48
Benny Cunningham	RB	CHI	5
Tony Bergstrom	OT	2TM	54
Courtney Upshaw	OLB	ATL	65
Robert McClain	DB	TAM	23
Kevin McDermott	LS	MIN	42
Brian Schwenke	C	TEN	80
EJ Manuel	QB	OAK	24
Stefen Wisniewski	OL	PHI	58
Ben Jacobs	LB	CAR	18
Nickell Robey-Coleman	CB	LAR	2
Sterling Moore	CB	NOR	67
Jeremy Kerley	WR	NYJ	3
Austin Pasztor	OL	ATL	53
Kai Forbath	K	MIN	60
Rodney McLeod	S	PHI	75
Arrelious Benn	WR	JAX	3
Junior Galette	DE	WAS	40
Patrick Omameh	G	JAX	74
Doug Baldwin	WR	SEA	58
Leonard Johnson	CB	BUF	54
Najee Goode	ILB	PHI	48
Bradley Sowell	T	CHI	24
Cedric Thornton	DT	BUF	18
MarQueis Gray	TE	MIA	75
Jarvis Jenkins	DL	KAN	53
Patrick Robinson	DB	PHI	29
Aaron Brewer	LS	ARI	71
Justin Hunter	WR	PIT	32
Brandon Bolden	RB	NWE	40
Matt Overton	LS	JAX	75
Ryan Quigley	P	MIN	64
Kyle Love	DT	CAR	54
Damion Square	DE	LAC	26
David Bakhtiari	OT	GNB	19
Logan Paulsen	TE	SFO	63
Frank Clark	DE	SEA	51
Jordan Richards	SS	NWE	6
Jake Fisher	OT	CIN	66
Charles Sims	RB	TAM	47
Chance Warmack	OG	PHI	2
Emmanuel Ogbah	DE	CLE	6
Branden Oliver	RB	LAC	50
Josh Mauro	DE	ARI	6
Kevin Dodd	DE	TEN	39
Jaylon Smith	OLB	DAL	43
Hunter Henry	TE	LAC	62
Myles Jack	OLB	JAX	34
Sean Mannion	QB	LAR	52
Steven Johnson	LB	2TM	6
Jeff Locke	P	DET	37
Asa Jackson	CB	SFO	48
Nick Bellore	LB	DET	32
Sean Spence	LB	2TM	36
Jelani Jenkins	OLB	HOU	40
Xavien Howard	CB	MIA	51
Jay Bromley	DT	NYG	26
Noah Spence	DE	TAM	41
A.J. Cann	OG	JAX	33
Sterling Shepard	WR	NYG	9
Reggie Ragland	ILB	KAN	74
Kamalei Correa	OLB	BAL	35
Clive Walford	TE	OAK	75
Kareem Martin	DE	ARI	50
Chris Jones	DT	KAN	41
Austin Johnson	DT	TEN	80
Leon Hall	DB	SFO	62
Terrence Brooks	FS	NYJ	23
Ali Marpet	C	TAM	43
Jihad Ward	DE	OAK	23
Jerick McKinnon	RB	MIN	47
Tre Boston	FS	LAC	5
Charcandrick West	RB	KAN	8
Logan Thomas	TE	BUF	74
Darren Fells	TE	DET	23
James Hurst	OT	BAL	53
Phillip Gaines	CB	KAN	74
Michael Campanaro	WR	BAL	19
Jonotthan Harrison	C	NYJ	48
Derrick Henry	RB	TEN	47
Tyler Lockett	WR	SEA	41
Alfred Blue	RB	HOU	60
Derrick Coleman	RB	ATL	79
Steven Terrell	DB	KAN	17
Tyler Shatley	OG	JAX	56
Tommy Bohanon	FB	JAX	53
Antone Exum	CB	SFO	52
Pierre Desir	CB	IND	41
Nick Williams	WR	ATL	12
Mike Pennel	DT	NYJ	19
Ty Nsekhe	T	WAS	28
Terrance Mitchell	CB	KAN	51
Chris Smith	DE	CIN	34
Kenneth Acker	CB	KAN	3
De'Anthony Thomas	RB	KAN	66
Tom Savage	QB	HOU	41
Daniel Sorensen	S	KAN	30
Ryan Grant	WR	WAS	46
Laurent Duvernay-Tardif	OT	KAN	24
Marcus Burley	CB	HOU	4
Daniel McCullers	DT	PIT	64
Marquis Flowers	OLB	NWE	64
Beau Allen	DT	PHI	42
Marcus Smith	DE	SEA	13
Walt Aikens	CB	MIA	61
Bruce Ellington	WR	HOU	52
Jimmie Ward	SS	SFO	17
Corey Nelson	OLB	DEN	45
Nat Berhe	SS	NYG	45
Orleans Darkwa	RB	NYG	48
Brent Urban	DE	BAL	34
Dontae Johnson	FS	SFO	40
David King	DE	TEN	4
Andrew DePaola	LS	CHI	48
T.J. Jones	WR	DET	48
Jordan Tripp	OLB	ATL	39
Adarius Glanton	LB	TAM	18
Cameron Brate	TE	TAM	58
Jake Matthews	OT	ATL	74
Keith McGill	CB	OAK	70
Dakota Dozier	OT	NYJ	27
Sammy Watkins	WR	LAR	54
Will Clarke	DE	TAM	9
Pat O'Donnell	P	CHI	63
Jerel Worthy	DT	BUF	18
Ben Garland	DL	ATL	22
James White	RB	NWE	11
Jonathan Bostic	LB	IND	6
Mike Evans	WR	TAM	62
Khalil Mack	OLB	OAK	65
Kevin Pierre-Louis	OLB	KAN	69
Jadeveon Clowney	DE	HOU	40
Kenny Wiggins	T	LAC	5
Luke Bowanko	C	BAL	6
Dustin Hopkins	K	WAS	5
Keith Smith	LB	DAL	51
Brandon Dunn	DT	HOU	36
Jay Prosch	FB	HOU	57
A.J. McCarron	QB	CIN	35
Terrence Fede	DE	MIA	57
Jaylen Watkins	CB	PHI	65
Adrian Phillips	DB	LAC	66
Joe Banyard	RB	BUF	73
Cody Parkey	K	MIA	53
Brittan Golden	WR	ARI	10
Steven Means	DE	PHI	33
Dewey McDonald	S	SEA	34
Peyton Thompson	CB	JAX	80
Jeff Janis	WR	GNB	41
Jeremiah Sirles	OT	MIN	4
Kerwynn Williams	RB	ARI	25
Bene Benwikere	CB	DAL	76
Cassius Marsh	DE	2TM	13
Nick Novak	K	LAC	79
John Hughes	DT	NOR	27
John Greco	T	NYG	28
A'Shawn Robinson	DT	DET	4
Ameer Abdullah	RB	DET	31
Hroniss Grasu	C	CHI	21
Jamon Brown	OT	LAR	69
George Johnson	DE	2TM	6
Johnthan Banks	CB	HOU	2
Robert Blanton	CB	BUF	41
David Bass	DE	2TM	60
Damontre Moore	DE	DAL	25
Michael Thomas	WR	NOR	5
Tevin Coleman	RB	ATL	61
Jason Spriggs	OT	GNB	55
Jarran Reed	DT	SEA	35
Nick Martin	C	HOU	42
Deion Jones	OLB	ATL	48
David Amerson	CB	OAK	75
Cornelius Lucas	T	LAR	27
Jordan Devey	T	KAN	47
Mackensie Alexander	CB	MIN	49
Jaelen Strong	WR	2TM	36
Tyler Boyd	WR	CIN	19
Duke Johnson	RB	CLE	31
Cody Whitehair	OG	CHI	52
P.J. Williams	CB	NOR	56
T.J. Green	FS	IND	70
Tim Lelito	G	DET	64
Danielle Hunter	DE	MIN	38
Sean Davis	FS	PIT	46
Justin Drescher	C	ARI	14
Chris Conley	WR	KAN	76
Eli Harold	OLB	SFO	80
Jordan Hicks	OLB	PHI	26
Carl Davis	DT	BAL	32
Vonn Bell	SS	NOR	44
Chaz Green	OT	DAL	9
James Bradberry	CB	CAR	10
Henry Anderson	DE	IND	61
Adam Gotsis	DT	DEN	10
Tyler Kroft	TE	CIN	75
Ty Montgomery	WR/RB	GNB	73
Kevin Byard	S	TEN	49
Steven Nelson	CB	KAN	55
Carl Nassib	DE	CLE	9
Max Garcia	C	DEN	61
Matt Paradis	C	DEN	19
Jon Feliciano	OG	OAK	32
Thomas Rawls	RB	SEA	35
Amari Cooper	WR	OAK	46
Trey Flowers	DE	NWE	66
Sean McGrath	TE	LAC	33
Xavier Williams	DT	ARI	3
Trent Brown	OT	SFO	29
John Miller	OG	BUF	39
Rodney Gunter	DT	ARI	23
Josh Wells	T	JAX	65
T.J. Clemmings	OT	WAS	63
Seth Roberts	WR	OAK	30
Geremy Davis	WR	LAC	14
Darrell Williams	T	LAR	67
Jason Myers	K	JAX	45
Andrew Donnal	OT	BAL	61
Za'Darius Smith	DE	BAL	57
Quinton Dunbar	WR	WAS	12
Marcus Mariota	QB	TEN	25
Jalston Fowler	FB	TEN	79
Bradley Pinion	P	SFO	53
Jesse James	TE	PIT	7
Cameron Artis-Payne	RB	CAR	54
Ibraheim Campbell	SS	2TM	1
Quan Bray	WR	IND	78
Jay Ajayi	RB	2TM	76
Brett Jones	C	NYG	42
Denzelle Good	OT	IND	22
Jamison Crowder	WR	WAS	52
Aaron Ripkowski	FB	GNB	62
Jonathan Anderson	LB	CHI	29
Will Tye	TE	NYJ	44
Chris McCain	LB	LAC	72
Greg Van Roten	G	CAR	70
Anthony Harris	DB	MIN	6
Matt Longacre	DE	LAR	16
Bobby Hart	OG	NYG	12
JJ Nelson	WR	ARI	26
Jameis Winston	QB	TAM	46
Neal Sterling	WR	NYJ	38
Darryl Roberts	CB	NYJ	45
David Andrews	C	NWE	69
Ladarius Gunter	CB	2TM	1
C.J. Uzomah	TE	CIN	34
Kevin White	WR	CHI	41
Chris Boswell	K	PIT	13
Raheem Mostert	RB	SFO	28
Daryl Williams	OT	CAR	45
A.J. Derby	TE	2TM	3
Kendall Lamm	T	HOU	75
Adrian Amos	FS	CHI	6
Grady Jarrett	DT	ATL	47
Nick O'Leary	TE	BUF	22
Justin Hardy	WR	ATL	63
Brent Qvale	T	NYJ	38
Mike Hull	ILB	MIA	16
Christian Covington	DT	HOU	66
James O'Shaughnessy	TE	JAX	38
Brandon Coleman	WR	NOR	9
Shelby Harris	DE	DEN	14
Leonard Williams	DT	NYJ	40
Brett Hundley	QB	GNB	37
Joe Thomas	LB	GNB	51
Kwon Alexander	OLB	TAM	78
T.Y. McGill	DT	CLE	76
Tyrell Williams	WR	LAC	35
Quinton Spain	OG	TEN	12
Greg Mancz	C	HOU	64
Nick Easton	C	MIN	29
Darius Philon	DT	LAC	62
Michael Burton	FB	CHI	78
Justin Coleman	CB	SEA	40
Deshazor Everett	CB	WAS	46
Damien Wilson	ILB	DAL	7
Brian Peters	LB	HOU	23
Bennie Fowler	WR	DEN	28
Jamie Meder	DT	CLE	63
Martavis Bryant	WR	PIT	56
Sammie Coates	WR	CLE	27
David Mayo	ILB	CAR	48
Clayton Geathers	SS	IND	65
Tyler Patmon	CB	JAX	47
Javorius Allen	RB	BAL	61
Ramik Wilson	ILB	KAN	42
Bobby McCain	CB	MIA	14
Nick Boyle	TE	BAL	61
Mark Glowinski	OG	SEA	18
Shaquil Barrett	OLB	DEN	24
Stefon Diggs	WR	MIN	37
Brandon Scherff	G	WAS	48
Blake Bell	TE	MIN	18
Martrell Spaight	OLB	WAS	16
Ricardo Allen	CB	ATL	10
Roosevelt Nix	LB	PIT	79
Trevor Siemian	QB	DEN	77
Tyeler Davison	DT	NOR	41
Brandon King	DB	NWE	57
Daniel Brown	WR	CHI	17
Bryce Hager	ILB	LAR	77
Kyle Emanuel	OLB	LAC	25
Dexter McDonald	CB	OAK	35
Vic Beasley	OLB	ATL	16
Lorenzo Doss	CB	DEN	71
Willie Snead	WR	NOR	50
Corey Grant	RB	JAX	45
Dion Jordan	DE	SEA	68
Rakeem Nunez-Roches	DT	KAN	77
Jake Ryan	OLB	GNB	28
K'Waun Williams	DB	SFO	2
Quandre Diggs	CB	DET	69
Rod Smith	RB	DAL	25
D.J. Alexander	OLB	SEA	68
Leterrius Walton	DT	PIT	56
Anthony Steen	OG	MIA	3
Khari Lee	TE	BUF	62
Zach Zenner	RB	DET	68
Hayes Pullard	ILB	LAC	59
David Johnson	RB	ARI	69
Joe Cardona	LS	NWE	34
Terron Ward	RB	ATL	36
Kurtis Drummond	S	HOU	49
Anthony Chickillo	DE	PIT	35
Josh Shaw	CB	CIN	4
Jordan Berry	P	PIT	34
Ayodeji Olatoye	DB	2TM	52
Geoff Swaim	TE	DAL	53
Zac Kerin	C	DET	58
Bryce Callahan	CB	CHI	7
Jared Abbrederis	WR	DET	51
Charley Hughlett	LS	CLE	26
Josh Walker	G	JAX	24
Craig Mager	CB	LAC	66
Shaq Mason	C	NWE	29
Chris Matthews	WR	BAL	52
Corey Robinson	OT	DET	41
Tre McBride	WR	CHI	71
Jeremiah George	ILB	IND	50
Derron Smith	FS	2TM	2
Ryan Russell	DE	TAM	56
Adam Humphries	WR	TAM	69
Jeff Heuerman	TE	DEN	17
James Winchester	LS	KAN	10
Bryce Petty	QB	NYJ	77
Rontez Miles	FS	NYJ	40
Maliek Collins	DT	DAL	38
Deandre Coleman	DT	BUF	35
Yannick Ngakoue	OLB	JAX	58
Cody Kessler	QB	CLE	72
Bronson Kaufusi	DE	BAL	39
Jonathan Bullard	DE	CHI	55
Kenyan Drake	RB	MIA	59
Marcus Cromartie	CB	HOU	78
Earl Watford	OG	ARI	48
Shamarko Thomas	SS	BUF	66
Michael Person	OL	IND	43
Zach Line	FB	NOR	30
Stevan Ridley	RB	PIT	70
Dwight Freeney	DE	2TM	80
Darian Thompson	FS	NYG	60
Ahtyba Rubin	NT	2TM	10
Leger Douzable	DT	SFO	1
C.J. Spiller	RB	KAN	37
Jacoby Brissett	QB	IND	28
Akeem Hunt	RB	KAN	69
Isaac Seumalo	OG	PHI	11
KeiVarae Russell	CB	CIN	50
Kenjon Barner	RB	PHI	37
Shon Coleman	OT	CLE	3
C.J. Prosise	RB	SEA	12
Brandon Williams	CB	ARI	38
Le'Raven Clark	OT	IND	3
Nick Vannett	TE	SEA	67
Jordan Jenkins	OLB	NYJ	48
Leonte Carroo	WR	MIA	45
Daryl Worley	CB	CAR	23
Kyler Fackrell	OLB	GNB	14
Javon Hargrave	DT	PIT	51
Graham Glasgow	OG	DET	37
Kendall Fuller	CB	WAS	30
Braxton Miller	WR	HOU	80
Rees Odhiambo	OG	SEA	33
Gerald Hodges	OLB	NOR	19
Bobby Rainey	RB	BAL	6
Troy Hill	CB	LAR	24
Matt Jones	RB	IND	66
L.J. Fort	LB	PIT	8
John Timu	ILB	CHI	73
David Parry	NT	NOR	58
Nick Dzubnar	LB	LAC	25
Geneo Grissom	OLB	NWE	56
Joe Vellano	DT	ATL	22
Tyreek Hill	WR	KAN	76
Javien Elliott	CB	TAM	55
Joey Bosa	DE	LAC	19
Johnny Holton	WR	OAK	6
Miles Killebrew	SS	DET	79
Riley Dixon	P	DEN	28
Senorise Perry	RB	MIA	26
Matthew Ioannidis	DT	WAS	26
Darius Latham	DT	OAK	3
Kaelin Clay	WR	2TM	7
Elandon Roberts	ILB	NWE	35
Christopher Milton	CB	IND	68
Drew Kaser	P	LAC	9
Justin Simmons	FS	DEN	31
Romeo Okwara	DE	NYG	48
Wendell Smallwood	RB	PHI	64
Austin Hooper	TE	ATL	33
Rick Lovato	LS	PHI	75
Cody Core	WR	CIN	51
Ben Koyack	TE	JAX	16
Adolphus Washington	DT	BUF	22
Rashawn Scott	WR	MIA	69
Jarrod Wilson	S	JAX	44
Brandon Shell	OT	NYJ	70
Bryan Witzmann	T	KAN	43
Lac Edwards	P	NYJ	62
Chester Rogers	WR	IND	22
Michael Palardy	P	CAR	39
Matthias Farley	DB	IND	62
Dan Vitale	FB	CLE	3
Tanner McEvoy	WR	SEA	56
Xavier Grimble	TE	PIT	59
Robert Kelley	RB	WAS	47
David Onyemata	DT	NOR	23
Charles Tapper	DE	DAL	69
Jordan Howard	RB	CHI	2
Clayton Fejedelem	FS	CIN	5
Jake Brendel	C	MIA	48
Charone Peake	WR	NYJ	36
Connor McGovern	OG	DEN	48
Joe Schobert	OLB	CLE	62
Spencer Drango	OG	CLE	53
Anthony Brown	CB	DAL	78
Chris Manhertz	TE	CAR	1
Joe Thuney	OG	NWE	44
Ted Karras	OG	NWE	53
Evan Boehm	C	ARI	76
Tyler Ott	LS	SEA	66
Will Parks	S	DEN	6
Ricardo Louis	WR	CLE	53
Tye Smith	CB	TEN	6
Jeremy Cash	SS	CAR	59
Austin Reiter	C	CLE	25
J.D. McKissic	WR	SEA	45
Wes Schweitzer	OT	ATL	38
Caleb Benenoch	OT	TAM	69
Hassan Ridgeway	DT	IND	42
Joe Dahl	OG	DET	55
Olsen Pierre	DT	ARI	3
LeShaun Sims	CB	TEN	54
Alex Erickson	WR	CIN	59
David Morgan	TE	MIN	11
Sheldon Day	DT	2TM	57
De'Vondre Campbell	OLB	ATL	79
C.J. Goodwin	WR	2TM	54
Jakeem Grant	WR	MIA	47
Dwayne Washington	RB	DET	44
Michael Bennett	DT	JAX	20
Willie Henry	DT	BAL	46
Kavon Frazier	FS	DAL	14
Brian Mihalik	DE	DET	73
Stephen Weatherly	OLB	MIN	39
Cre'von LeBlanc	DB	CHI	7
Patrick Onwuasor	LB	BAL	15
Tyrone Holmes	OLB	CLE	80
Randall Telfer	TE	CLE	53
Jerell Adams	TE	NYG	29
Kalan Reed	CB	TEN	38
Joel Heath	DT	HOU	78
Kentrell Brothers	ILB	MIN	30
Jalen Richard	RB	OAK	69
Tyler Larsen	C	CAR	39
Zaire Anderson	LB	DEN	60
Jalen Mills	CB	PHI	45
Kamu Grugier-Hill	OLB	PHI	9
Ufomba Kamalu	DE	HOU	32
Christian Westerman	OG	CIN	21
Peyton Barber	RB	TAM	68
D.J. Reader	DT	HOU	38
Pharoh Cooper	WR	LAR	76
David Fluellen	RB	TEN	22
Ken Crawley	DB	NOR	79
Derek Watt	FB	LAC	78
Michael Pierce	DT	BAL	44
Cory James	OLB	OAK	55
Jayron Kearse	SS	MIN	38
John Wetzel	T	ARI	20
Brian Price	DT	DAL	6
Jordan Taylor	WR	DEN	25
Erik Harris	DB	OAK	31
Jonathan Jones	DB	NWE	79
DeAndre Washington	RB	OAK	30
Eric Tomlinson	TE	NYJ	2
Mike Jordan	DB	CLE	20
Lafayette Pitts	CB	2TM	9
Tyler Matakevich	ILB	PIT	37
Rashod Hill	T	MIN	42
Xavier Woodson-Luster	LB	OAK	15
Brian Poole	S	ATL	72
Kyle Murphy	OT	GNB	40
Ryan Smith	CB	TAM	33
Dominique Alexander	LB	CLE	33
Sharrod Neasman	S	ATL	57
Nick Kwiatkoski	ILB	CHI	61
Stephen Anderson	TE	HOU	33
Matt Judon	DE	BAL	2
Briean Boddy-Calhoun	DB	CLE	41
Juston Burris	CB	NYJ	24
Rashard Robinson	CB	2TM	17
Corey Moore	S	HOU	44
Antonio Hamilton	CB	OAK	35
Tommylee Lewis	WR	NOR	53
Anthony Zettel	DE	DET	63
Spencer Pulley	C	LAC	65
Josh Ferguson	RB	IND	10
Tyrell Adams	LB	OAK	63
Eric Murray	CB	KAN	39
Kentrell Brice	S	GNB	25
Vadal Alexander	OG	OAK	29
Marqui Christian	SS	LAR	9
Tyler Higbee	TE	LAR	80
Halapoulivaati Vaitai	OT	PHI	53
Cory Littleton	LB	LAR	15
Dean Lowry	DE	GNB	54
B.J. Goodson	OLB	NYG	63
Blake Countess	CB	LAR	45
