name	age	height_cm	weight_kgs	positions	nationality	overall_rating	potential	preferred_foot	international_reputation(1-5)	weak_foot(1-5)	skill_moves(1-5)
J. Marcinkowski	21	185.42	83.9	GK	United States	60	71	Right	1	2	1
J. MontaÃ±o	25	170.18	68.9	RB	Colombia	60	65	Right	1	3	2
D. Loader	18	182.88	68	ST,CAM	England	60	82	Right	1	3	3
N. RÃ¼tten	23	182.88	74.8	CDM,CB	Germany	60	68	Right	1	4	2
D. Cole	27	187.96	79.8	CB,RB	Scotland	60	63	Right	1	4	2
R. MudraÅ¾ija	21	152.4	69.9	CM	Croatia	60	74	Right	1	4	2
J. Williams	21	193.04	91.2	ST	United States	60	71	Right	1	4	2
H. Al Ghamdi	19	160.02	59	CM,CAM,CDM	Saudi Arabia	60	76	Right	1	4	2
G. Reilly	25	154.94	73	ST	Scotland	60	62	Right	1	3	2
C. Slattery	20	190.5	69.9	CAM,CM	England	60	77	Right	1	3	2
J. Coustrain	23	172.72	68	RM,LM	Republic of Ireland	60	68	Left	1	3	3
Kang Yun Seong	21	182.88	74.8	CM	Korea Republic	60	73	Right	1	3	2
Park Jeong Su	24	187.96	76.2	CB,CDM	Korea Republic	60	62	Right	1	3	2
A. Buongiorno	19	190.5	79.8	LB,CB	Italy	60	74	Left	1	2	2
Yang Jun	37	187.96	78	GK	China PR	60	60	Right	1	1	1
L. Gottwalt	21	193.04	83.9	CB	Germany	60	72	Right	1	3	2
K. Skoglund	31	182.88	78.9	CB	Sweden	60	60	Right	1	3	2
B. UrbaÅ„ski	20	175.26	68	CM,CDM	Poland	60	70	Left	1	3	2
J. VelÃ¡squez	23	175.26	69.9	RM	Colombia	60	69	Right	1	2	2
C. KÃ¼hlwetter	22	154.94	74.8	LM,ST	Germany	60	68	Right	1	3	2
Lee Ji Hoon	24	175.26	68.9	RB	Korea Republic	60	66	Right	1	3	2
R. Mahazi	26	152.4	74.8	CDM,CM	Australia	60	60	Right	1	3	2
E. Erenler	25	152.4	67.1	CB	Turkey	60	65	Right	1	2	2
D. Cruz	24	170.18	59.9	RB,LB,RWB,LWB	Mexico	60	65	Right	1	3	2
E. Weeger	22	152.4	73.9	RB,CDM	Germany	60	67	Right	1	4	2
K. Krasniqi	23	152.4	67.1	CM,CDM,RB	Kosovo	60	68	Right	1	3	3
J. Gibbons	20	175.26	59.9	RB,RWB	England	60	66	Right	1	2	2
A. Favaro	23	187.96	76.2	GK	Italy	60	65	Right	1	2	1
Algobia	19	154.94	78	CM	Spain	60	77	Right	1	3	2
N. Ferguson	18	154.94	69.9	CB	England	60	75	Right	1	3	2
Guo Quanbo	21	185.42	79.8	GK	China PR	60	70	Right	1	3	1
P. Ruiz	20	172.72	68	LW,RW,LB,CM	Argentina	60	77	Left	1	3	2
L. Croll	24	185.42	76.2	CB	England	60	65	Left	1	3	2
F. Ã‡akÄ±r	24	190.5	79.8	GK	Turkey	60	67	Right	1	1	1
S. Murillo	25	175.26	73	LB	Colombia	60	65	Left	1	2	2
M. Rauschenberg	27	187.96	83.9	CB	Denmark	60	62	Right	1	2	2
V. Burgoa	18	175.26	68	CM	Argentina	60	77	Left	1	2	3
A. Al Harbi	30	152.4	72.1	CB	Saudi Arabia	60	60	Left	1	3	2
Liao Bochao	31	154.94	69.9	RB	China PR	60	60	Right	1	3	2
M. Okazaki	20	154.94	73.9	CB,RB	Japan	60	75	Right	1	3	2
T. Makowski	19	152.4	72.1	CM,CDM,CAM	Poland	60	73	Right	1	2	2
R. Izumi	25	172.72	72.1	CM,LM,CB	Japan	60	64	Right	1	3	2
M. Seidel	24	185.42	82.1	GK	Germany	60	66	Right	1	3	1
G. AbregÃº	21	170.18	67.1	RB,CB,LB	Argentina	60	70	Right	1	3	2
R. Germain	23	182.88	74.8	ST	Japan	60	66	Right	1	2	3
R. Strain	21	154.94	76.2	RB	Australia	60	68	Right	1	3	2
J. Maddox	20	152.4	72.1	LM	England	60	78	Right	1	3	3
M. Lund	22	182.88	87.1	CB	Denmark	60	67	Right	1	3	2
D. ChÃ¡vez	23	154.94	60.8	ST	Mexico	60	64	Right	1	3	2
R. Miller	29	175.26	76.2	ST	England	60	60	Left	1	3	2
V. DrkuÅ¡iÄ‡	19	185.42	79.8	CB	Slovenia	60	75	Right	1	1	2
R. Fulton	22	190.5	69.9	GK	Scotland	60	67	Left	1	3	1
P. Posipal	31	187.96	78	CDM,CB	Germany	60	60	Right	1	2	2
Caio Marcelo	20	190.5	88	CB	Brazil	60	71	Right	1	3	2
Hu Ruibao	22	185.42	73	CB	China PR	60	68	Left	1	3	2
Yang Qipeng	31	185.42	76.2	GK	China PR	60	60	Right	1	3	1
E. Fujishima	27	185.42	87.1	GK	Japan	60	61	Right	1	2	1
A. Racioppi	20	185.42	79.8	GK	Switzerland	60	77	Right	1	2	1
T. Buhagiar	21	152.4	64.9	CAM	Australia	60	72	Right	1	4	3
P. Sussek	19	175.26	68	CAM,RM	Germany	60	77	Right	1	3	3
Altube	19	187.96	84.8	GK	Spain	60	80	Right	1	3	1
I. Åasicki	23	182.88	69.9	CB	Poland	60	67	Right	1	2	2
San RomÃ¡n	21	187.96	78.9	GK	Spain	60	71	Right	1	3	1
M. OrtÃ­z	25	185.42	73.9	CB,RB	Argentina	60	65	Right	1	2	2
H. Nakabayashi	32	182.88	73	GK	Japan	60	60	Left	1	3	1
J. Boller	18	185.42	82.1	CB,RB,LB	Germany	60	77	Right	1	4	2
A. Nalic	21	190.5	78	CAM,CF	Sweden	60	73	Right	1	3	3
M. Hausjell	19	175.26	69.9	RM	Austria	60	73	Right	1	3	2
F. Myhre	20	154.94	74.8	CDM	Norway	60	76	Right	1	3	2
F. Ugrinic	20	182.88	83.9	CM,CAM,CDM	Switzerland	60	77	Right	1	3	2
L. Gibson	18	185.42	74.8	CB,LB	England	60	80	Left	1	2	2
L. Martis	23	170.18	73	LM	Curacao	60	67	Right	1	2	3
E. Durrell	29	152.4	74.8	RW,RM,CAM	England	60	60	Right	1	3	2
N. Fadiga	19	154.94	64.9	CAM,RM,LM	Belgium	60	74	Left	1	5	2
E. Zehir	21	182.88	78	CDM	Germany	60	71	Right	1	3	2
M. Zeidan	20	170.18	69.9	CM	Sweden	60	71	Left	1	3	3
K. Bennetts	20	182.88	73	LM,RM,LB	England	60	78	Left	1	4	2
S. Nigro	22	154.94	69.9	LB,RB,CDM	Australia	60	69	Right	1	3	3
K. Lowe	33	187.96	87.1	CB	England	60	60	Right	1	3	2
F. Piszczek	23	187.96	77.1	ST	Poland	60	67	Right	1	2	2
Yeun Jong Gyu	20	172.72	64	RB,LM,RM	Korea Republic	60	74	Right	1	3	2
Gabriel BrazÃ£o	18	190.5	78	GK	Brazil	60	78	Right	1	3	1
J. Novillo	21	187.96	83	CB	Argentina	60	74	Right	1	2	2
N. Katterbach	17	152.4	73	LWB	Germany	60	83	Left	1	2	2
G. Gori	20	187.96	73.9	ST	Italy	60	75	Left	1	3	2
J. Ochoa	22	185.42	83	CB	Colombia	60	69	Right	1	3	2
M. Chajia	20	154.94	72.1	CF	Belgium	60	70	Right	1	3	3
D. FernÃ¡ndez	21	175.26	69.9	CM	Chile	60	67	Right	1	3	2
M. Crowe	23	193.04	83.9	GK	Wales	60	68	Right	1	2	1
A. Nathaniel-George	23	175.26	68	LM	England	60	66	Right	1	3	3
G. BakÄ±rbaÅŸ	22	195.58	83	GK	Turkey	60	66	Right	1	3	1
Xavi Sintes	17	190.5	71.2	CDM	Spain	60	78	Right	1	3	2
D. Becker	21	170.18	66.2	LM,RM	Argentina	60	73	Left	1	3	2
T. Pemberton	20	175.26	68	RW	England	60	78	Right	1	3	2
Yun Ji Hyeok	21	190.5	84.8	CB	Korea Republic	60	74	Right	1	3	2
Y. Zahary	20	190.5	82.1	CB	France	60	71	Right	1	3	2
M. Tapias	22	154.94	72.1	CB	Mexico	60	68	Right	1	3	2
C. Siya	19	154.94	79.8	CM,LM	Germany	60	74	Left	1	4	2
M. Kouhyar	21	172.72	68.9	LM	Afghanistan	60	68	Right	1	3	3
S. Wilson	26	182.88	81.2	ST	England	60	63	Right	1	3	2
R. Frantsen	27	182.88	76.2	RM,RB	Denmark	60	60	Right	1	3	2
G. Ivanishvili	29	185.42	88	RM,LM	Georgia	60	60	Right	1	3	3
N. Mbouhom	19	152.4	82.1	CF	Cameroon	60	72	Left	1	3	4
Victor Campuzano	21	175.26	72.1	ST	Spain	60	71	Left	1	3	2
A. Hollingen	24	175.26	64.9	CM	Norway	60	64	Right	1	3	2
D. MelichÃ¡rek	35	195.58	94.8	GK	Czech Republic	60	60	Right	1	2	1
M. ChoiniÃ¨re	20	175.26	68	CAM,CM,LW	Canada	60	75	Right	1	3	2
Y. Smyrnyi	20	185.42	74.8	CM,RM	Ukraine	60	74	Left	1	3	2
E. Berger	24	185.42	74.8	CB	Norway	60	67	Right	1	2	2
J. Dunleavy	27	182.88	71.2	RB,CB,LB	Republic of Ireland	60	60	Right	1	4	2
T. Kodama	31	182.88	83.9	GK	Japan	60	60	Right	1	2	1
Daniel Rebollo	19	187.96	78	GK	Spain	60	75	Right	1	3	1
B. Gyamfi	23	152.4	76.2	RB,CB	Ghana	60	67	Right	1	2	2
Kim Jun Yub	30	152.4	72.1	LB,RB	Korea Republic	60	60	Right	1	4	2
G. Bello	17	170.18	68	LB,LM	United States	60	80	Left	1	3	2
M. Gurski	39	187.96	88.9	GK	Germany	60	60	Right	1	3	1
C. Ilic	22	152.4	73	LB,LM	Croatia	60	67	Right	1	5	3
N. Antonov	23	182.88	74.8	LB	Serbia	60	66	Left	1	3	2
E. Arias	25	175.26	64	CAM	Colombia	60	65	Left	1	3	2
A. Bamba	19	182.88	84.8	CB,CDM	Ivory Coast	60	79	Right	1	3	2
J. Gulley	26	175.26	69.9	CB,RB,RWB	New Zealand	60	63	Right	1	3	2
F. Musaev	30	182.88	73.9	CM,CDM,CB	Uzbekistan	60	60	Right	1	4	2
S. Al Khayri	23	172.72	74.8	RB,CB	Saudi Arabia	60	67	Right	1	3	2
A. Tsvetkov	28	154.94	74.8	CDM	Bulgaria	60	61	Right	1	3	2
T. KallevÃ¥g	26	152.4	64.9	LM	Norway	60	61	Right	1	4	2
N. Keown	23	182.88	66.2	CB,RB	Republic of Ireland	60	71	Right	1	3	2
O. Drost	23	187.96	73	ST	Denmark	60	67	Right	1	3	3
L. Sutton	21	154.94	73.9	RB,CM	England	60	68	Right	1	2	2
M. Bean	35	154.94	73	CM,CDM	Jamaica	60	60	Right	1	3	2
C. Pombo	24	170.18	64.9	CM	Argentina	60	66	Right	1	3	2
A. Majrashi	21	170.18	69.9	CDM,LM	Saudi Arabia	60	72	Right	1	3	2
L. Joyce	31	154.94	76.2	CM,CDM	England	60	60	Right	1	3	2
E. Andersson	21	152.4	78	CM,LM	Sweden	60	71	Left	1	2	2
U. Mohammed	25	182.88	76.2	CM	Nigeria	60	66	Right	1	3	2
M. Saito	20	165.1	60.8	CM,CAM,RM	Japan	60	70	Right	1	3	4
C. McDermott	21	172.72	72.1	RB,CB	Republic of Ireland	60	74	Right	1	3	2
L. Salvesen	22	185.42	82.1	ST	Norway	60	71	Left	1	3	2
K. Ãlvarez	22	154.94	76.2	RWB	Honduras	60	68	Right	1	3	2
P. Grant	24	187.96	72.1	CB	Scotland	60	67	Right	1	3	2
A. Akinola	19	170.18	82.1	ST,LM,RM	United States	60	79	Right	1	3	2
P. WiÅ›niewski	20	195.58	88	CB,RB	Poland	60	68	Right	1	3	2
S. Fujitani	21	152.4	62.1	RB,RWB,RM	Japan	60	67	Right	1	3	2
B. Biabi	23	187.96	76.2	ST	Scotland	60	67	Right	1	3	2
Mollejo	18	175.26	63	RW	Spain	60	80	Left	1	3	3
J. Qwiberg	26	172.72	68	LB,LM	Sweden	60	61	Left	1	3	2
S. Smith	21	154.94	73	ST	England	60	74	Left	1	3	2
H. Mitsumaru	25	172.72	68.9	LB	Japan	60	64	Left	1	3	2
J. Barrett	20	154.94	71.2	LM,CAM	Republic of Ireland	60	75	Right	1	2	3
M. Vano	27	190.5	88	ST	Italy	60	60	Right	1	3	2
A. RodrÃ­guez	22	170.18	69.9	ST	Argentina	60	70	Right	1	3	2
E. GarcÃ­a	21	182.88	83.9	CB	Mexico	60	73	Right	1	3	2
S. Otayf	28	170.18	66.2	ST,CAM	Saudi Arabia	60	60	Right	1	2	3
M. Camara	19	175.26	68	CM	Mali	60	76	Right	1	3	3
D. Smarsch	20	195.58	97.1	GK	Germany	60	76	Right	1	4	1
A. Al Shammary	23	152.4	66.2	LM,LW,CM	Saudi Arabia	60	69	Left	1	2	3
P. Monti	21	152.4	73	LM	Argentina	59	70	Right	1	3	2
K. Hansen	17	154.94	74.8	CAM	Norway	59	72	Left	1	3	3
J. Lyden	23	152.4	69.9	CM	Australia	59	68	Right	1	2	3
L. Kryeziu	20	154.94	73.9	ST,RW	Kosovo	59	74	Right	1	3	2
A. Xhemajli	20	190.5	81.2	CB	Kosovo	59	74	Left	1	3	2
O. Patrick	22	185.42	73	ST	England	59	69	Right	1	2	2
K. Fukuda	34	175.26	69.9	RM,CF	Japan	59	59	Right	1	3	2
C. Moya	20	170.18	64.9	CDM,CM	Chile	59	74	Right	1	3	2
S. Matthews	21	175.26	71.2	CM,RM	England	59	67	Left	1	2	3
Ã“scar Gil	20	154.94	74.8	RB	Spain	59	69	Right	1	3	3
Joo Hyun Ho	23	182.88	77.1	LW,ST	Korea Republic	59	68	Left	1	3	2
J. Stanic	19	187.96	79.8	CB	Croatia	59	73	Right	1	3	2
L. Pfeiffer	22	195.58	87.1	ST	Germany	59	67	Right	1	3	2
C. Hall	21	154.94	77.1	ST	England	59	71	Right	1	3	2
N. Mekonnen	19	152.4	64.9	CDM,CB	Germany	59	75	Right	1	3	2
G. McEachran	18	172.72	64.9	CAM,CM	England	59	81	Left	1	3	3
E. Henschel	22	185.42	78	RM,RB	Germany	59	69	Right	1	3	2
A. Gamboa	19	190.5	84.8	CB	Costa Rica	59	72	Left	1	3	2
P. Gartler	21	185.42	74.8	GK	Austria	59	70	Right	1	2	1
D. Pender	34	152.4	74.8	RB,LB	Republic of Ireland	59	59	Right	1	3	2
Gao Jiarun	23	182.88	73	CB,CDM,CM,CAM	China PR	59	65	Right	1	3	2
Moon Jeong In	20	193.04	79.8	GK	Korea Republic	59	70	Right	1	2	1
E. Robson	22	152.4	73	CM,CDM	England	59	70	Left	1	3	2
A. Mitchell	22	190.5	83.9	CB,RB	New Zealand	59	67	Right	1	2	2
A. Busti	18	182.88	74.8	GK	Canada	59	77	Right	1	2	1
S. Sidler	20	185.42	72.1	LB,RB	Switzerland	59	72	Right	1	4	2
P. McClean	22	185.42	73	CB,LB	Republic of Ireland	59	71	Left	1	3	2
D. Olsson	21	198.12	94.8	GK	Sweden	59	69	Right	1	2	1
A. Sissoko	22	152.4	68	RB	France	59	69	Right	1	2	2
B. Rojas	21	182.88	69.9	ST	Costa Rica	59	67	Right	1	3	2
O. Mbaizo	21	152.4	69.9	RB	Cameroon	59	70	Right	1	2	2
B. Chorbadzhiyski	23	195.58	78.9	CB	Bulgaria	59	69	Right	1	3	2
A. KecskÃ©s	23	190.5	74.8	CB	Hungary	59	67	Right	1	3	2
L. Gordon	18	165.1	64.9	LB	England	59	76	Left	1	2	2
Liu Yang	23	182.88	74.8	LM,RM,LB	China PR	59	67	Left	1	3	2
J. Gies	24	187.96	78.9	GK	Germany	59	64	Right	1	2	1
K. Hoffmann	23	154.94	79.8	CAM,CM	Germany	59	65	Right	1	4	3
I. DomÃ­nguez	18	170.18	64.9	LB	Mexico	59	76	Right	1	3	2
R. Cagnon	21	190.5	81.2	GK	France	59	72	Right	1	1	1
C. Wood	22	152.4	78	LB,LWB,LM	England	59	68	Left	1	2	2
J. Al Shammari	27	182.88	79.8	CM,CDM	Saudi Arabia	59	60	Right	1	3	2
T. Miyazaki	32	170.18	68	LM,CM,CDM,LB	Japan	59	59	Left	1	4	2
Ou Ya	33	193.04	84.8	GK	China PR	59	59	Right	1	1	1
M. Payero	20	182.88	78	CM	Argentina	59	76	Right	1	2	2
Kim Tae Han	23	182.88	77.1	CB	Korea Republic	59	66	Right	1	3	2
V. Wojtkowiak	21	182.88	72.1	CB,CDM	France	59	71	Right	1	3	2
J. CÃ³rdova	23	165.1	68	RB,LB	Canada	59	68	Right	1	4	2
F. BjÃ¸rkan	20	175.26	74.8	LB	Norway	59	67	Left	1	2	2
P. Wade	18	152.4	66.2	CDM,CM	France	59	76	Right	1	3	2
G. Poynton	21	152.4	74.8	CM,CDM,RM	Republic of Ireland	59	68	Right	1	3	2
A. Ikedi	20	198.12	79.8	CDM,CM	Nigeria	59	72	Right	1	3	2
K. Danielak	27	170.18	66.2	RM,LM	Poland	59	59	Right	1	3	2
T. Hadler	22	187.96	78.9	GK	England	59	64	Right	1	2	1
P. Mullin	24	152.4	71.2	ST,LM,RM	England	59	64	Right	1	2	2
K. Mouanga	18	190.5	79.8	CB	France	59	75	Right	1	3	2
J. Stevens	18	172.72	64.9	RM,CM	England	59	74	Right	1	2	2
T. Nishi	28	175.26	69.9	CM	Japan	59	59	Right	1	4	2
J. Guevara	26	193.04	89.8	CM	Colombia	59	62	Left	1	3	2
Zhang Yi	25	154.94	67.1	CM	China PR	59	64	Left	1	3	2
F. Brorsson	21	154.94	78.9	ST	Sweden	59	69	Right	1	3	2
K. Dimitriou	19	185.42	78	CB	Greece	59	75	Right	1	2	2
M. Eid	25	182.88	82.1	ST	Palestine	59	64	Left	1	2	2
B. McGrath	27	182.88	81.2	ST	Australia	59	60	Right	1	3	2
Y. Andzouana	22	152.4	68.9	LM	Congo	59	71	Right	1	3	2
M. Rudakov	23	187.96	74.8	GK	Russia	59	68	Right	1	2	1
Ding Jie	31	182.88	69.9	CDM,CB	China PR	59	59	Right	1	2	2
H. Forster	18	175.26	71.2	RM,RB	England	59	72	Right	1	3	3
S. Bengriba	38	175.26	71.2	LB	France	59	59	Left	1	2	2
Cui Yongzhe	32	175.26	67.1	RB,CDM	China PR	59	59	Right	1	3	2
Ha Sung Min	31	182.88	78	CM,CDM	Korea Republic	59	59	Right	1	2	2
N. Ralph	26	175.26	69.9	LB,LM	England	59	62	Left	1	3	2
A. Greene	29	154.94	73	ST,LM	Republic of Ireland	59	59	Left	1	3	3
Paulo Alves	21	175.26	72.1	CM,CAM	Portugal	59	70	Right	1	3	3
I. Al Talhi	24	165.1	53.1	LM,CAM	Saudi Arabia	59	65	Left	1	3	2
K. Miazek	22	193.04	78	GK	Poland	59	69	Right	1	2	1
M. Ebiye	21	185.42	74.8	ST,RM	Nigeria	59	69	Right	1	4	2
Chen Zhongliu	25	182.88	73	CAM	China PR	59	62	Right	1	3	2
O. Valakari	19	187.96	82.1	CM,CAM	Finland	59	74	Left	1	2	2
J. Atanasov	19	187.96	74.8	CDM	FYR Macedonia	59	76	Right	1	3	2
K. Huntelaar	20	185.42	71.2	CM,CDM	Netherlands	59	70	Right	1	3	2
R. Hutchinson	18	152.4	74.8	LB	England	59	77	Left	1	3	2
M. LÃ³pez	28	182.88	79.8	LB,LM,LW	Colombia	59	59	Left	1	3	2
Yoo Ji Ha	19	182.88	69.9	CB	Korea Republic	59	74	Right	1	3	2
A. Ablet	31	152.4	68	LWB,LW	China PR	59	59	Left	1	3	2
S. Farhan	22	154.94	69.9	CDM	Saudi Arabia	59	71	Right	1	2	2
A. Thapa	21	170.18	64	CM,CDM	India	59	71	Right	1	4	2
D. Adshead	17	185.42	64.9	CM,CDM	England	59	79	Right	1	2	2
T. Trautner	24	187.96	84.8	GK	Germany	59	67	Right	1	3	1
T. Gallacher	19	172.72	62.1	LB	Scotland	59	77	Left	1	2	2
Y. Takaoka	22	154.94	72.1	GK	Japan	59	66	Right	1	2	1
K. Ademi	23	195.58	84.8	ST	Switzerland	59	67	Right	1	3	2
J. Falkmar	27	185.42	79.8	RB,LB	Sweden	59	60	Right	1	3	2
J. UrzÃºa	19	172.72	68	CAM,CM	Chile	59	77	Right	1	3	2
A. Jakubiak	22	152.4	66.2	ST,LW	Scotland	59	69	Right	1	3	2
L. Cullen	19	172.72	66.2	ST	Wales	59	74	Left	1	3	3
J. Heil	21	175.26	69.9	RM,CAM	Austria	59	66	Right	1	3	3
C. Arroyave	23	182.88	77.1	GK	Colombia	59	67	Right	1	2	1
J. Doherty	22	152.4	69.9	LB	Northern Ireland	59	70	Left	1	3	2
J. Hodgkiss	32	167.64	71.2	RB	England	59	59	Right	1	3	2
T. Matthews	18	175.26	69.9	CAM,LM,RM	South Africa	59	79	Left	1	4	3
J. Flatt	24	190.5	88	GK	England	59	65	Right	1	3	1
C. TiÃ©hi	20	152.4	78	CDM	Ivory Coast	59	70	Right	1	3	2
E. Kastrati	22	185.42	73.9	GK	Albania	59	70	Right	1	1	1
K. McFarlane	22	154.94	73.9	ST	England	59	68	Right	1	3	2
M. Hoxha	19	175.26	73.9	CAM	Belgium	59	72	Right	1	4	2
A. Bolger	19	170.18	64.9	CM,CDM	Republic of Ireland	59	79	Right	1	3	2
K. Yajima	23	185.42	78	ST	Japan	59	67	Right	1	3	2
Lee Tae Hee	26	182.88	74.8	RB,CB	Korea Republic	59	59	Right	1	3	2
Tellado	20	172.72	64.9	RB,LB	Spain	59	72	Right	1	3	2
H. Evjen	19	175.26	69.9	RW	Norway	59	71	Right	1	2	2
J. Lahne	17	170.18	68	ST,RW	Sweden	59	77	Right	1	3	2
Song Long	29	154.94	72.1	RB,LB,CDM	China PR	59	59	Right	1	3	2
Cao Haiqing	25	175.26	68.9	LB,RB	China PR	59	62	Right	1	2	2
M. Kuchta	23	187.96	73	GK	Poland	59	68	Right	1	2	1
V. Oliver	27	187.96	78	ST	England	59	60	Right	1	2	2
D. Kulikov	20	152.4	66.2	CDM	Russia	59	69	Right	1	3	2
M. Rieder	19	175.26	71.2	CAM,CM	Netherlands	59	74	Right	1	3	2
Sun Bo	28	154.94	72.1	LM	China PR	59	59	Left	1	3	2
F. Ourega	26	175.26	73.9	RW	France	59	60	Right	1	3	2
R. Tugarev	20	170.18	63	LM	Russia	59	70	Right	1	3	2
A. Rizzo	19	154.94	73	LM,RM,RB	Italy	59	78	Right	1	4	4
R. Lowry	25	154.94	69.9	CB,RB	Australia	59	61	Left	1	3	2
H. Sandvik	29	182.88	74.8	GK	Norway	59	61	Right	1	3	1
Wang Qiuming	26	172.72	64	LM	China PR	59	60	Right	1	3	2
I. Boye	22	187.96	82.1	ST	Nigeria	59	67	Right	1	3	2
N. Trott	20	182.88	69.9	GK	England	59	73	Left	1	3	1
L. KrÃ¼ger	19	187.96	77.1	ST	Germany	58	72	Right	1	3	2
M. Berisha	20	185.42	78.9	CF,CAM,ST	Kosovo	58	73	Right	1	3	3
A. Amade	19	170.18	63	RWB,RB,CDM	Germany	58	77	Right	1	3	2
I. Meite	22	187.96	72.1	ST	England	58	66	Left	1	2	2
M. Guehi	18	182.88	74.8	CB	England	58	78	Right	1	2	2
J. Pourtau	19	193.04	87.1	GK	Argentina	58	78	Right	1	3	1
Zheng Tao	33	182.88	74.8	RB	China PR	58	58	Right	1	3	2
J. Clarke	29	182.88	83.9	RB,CB	England	58	58	Right	1	3	2
T. Reithmeir	19	190.5	87.1	CB	Germany	58	75	Right	1	3	2
N. Hunziker	23	154.94	74.8	ST	Switzerland	58	65	Right	1	2	2
R. Gondoh	21	182.88	74.8	RM,LM,LWB	England	58	65	Left	1	3	2
L. Jones	23	190.5	74.8	CB	England	58	65	Right	1	2	2
A. GÃ¼rleyen	19	193.04	89.8	CB	Germany	58	75	Right	1	3	2
G. Cuomo	21	190.5	78.9	CB	Italy	58	72	Right	1	2	2
C. Mbulu	22	187.96	86.2	CB	England	58	69	Right	1	3	2
N. Sambo	23	187.96	89.8	GK	Italy	58	65	Right	1	3	1
D. Cancola	22	182.88	73	CDM	Austria	58	68	Right	1	3	2
M. Åžatin	22	152.4	68.9	RM	Austria	58	68	Right	1	2	3
Park Ji Min	18	187.96	86.2	GK	Korea Republic	58	74	Right	1	3	1
M. Al Subaie	23	182.88	68	LM	Saudi Arabia	58	66	Right	1	4	2
K. Niemczycki	19	193.04	83.9	GK	Poland	58	73	Right	1	3	1
K. Wallace	24	185.42	74.8	LB,CAM,LM	England	58	64	Left	1	3	2
VinÃ­cius Ferreira	20	154.94	74.8	LM	Brazil	58	68	Right	1	3	2
J. Hoekstra	20	190.5	74.8	GK	Netherlands	58	69	Right	1	3	1
A. Zeka	20	193.04	78	RW,CM	Albania	58	72	Left	1	2	3
J. ObregÃ³n	21	175.26	72.1	ST	Colombia	58	72	Right	1	2	2
J. MuÃ±oz	25	167.64	59.9	CM	Colombia	58	63	Right	1	3	2
J. Sands	18	154.94	73	CDM	United States	58	75	Right	1	3	2
N. Tsubaki	18	170.18	58.1	LM,CAM	Japan	58	73	Right	1	3	2
N. Balongo	19	187.96	74.8	ST	DR Congo	58	71	Right	1	3	2
J. Albrecht	20	193.04	88.9	GK	Germany	58	65	Right	1	2	1
S. Mauritz-Hansen	24	182.88	78	ST	Norway	58	64	Right	1	3	2
A. Canessa	19	187.96	73.9	ST	Italy	58	73	Right	1	3	2
R. Acquah	22	182.88	79.8	CDM	Ghana	58	67	Right	1	3	2
M. Sprang	18	193.04	78.9	GK	Germany	58	67	Right	1	3	1
A. Ba Saeed	25	172.72	68	RM	Yemen	58	61	Right	1	2	3
R. Wilmots	21	187.96	76.2	CM,CAM	Belgium	58	68	Right	1	3	2
J. Herrera	23	152.4	73.9	LM	Colombia	58	65	Left	1	2	2
J. Rondeel	24	187.96	76.2	GK	Netherlands	58	63	Right	1	3	1
F. Pizzicanella	22	182.88	83.9	GK	Argentina	58	66	Right	1	2	1
D. Lyon	23	185.42	76.2	RWB,RB,CDM	Scotland	58	67	Right	1	2	2
J. Kelly	28	182.88	73	LM,ST	Republic of Ireland	58	58	Left	1	3	2
J. Marazas	19	152.4	69.9	RM	Lithuania	58	71	Left	1	3	2
J. Tratt	24	190.5	84.8	RB,CB	Australia	58	65	Right	1	2	2
M. Worthington	21	152.4	72.1	CM	England	58	70	Right	1	3	2
J. Ãžorsteinsson	20	152.4	73	LW,LM,RM	Iceland	58	73	Right	1	4	3
S. Kjellevold	24	185.42	69.9	GK	Norway	58	66	Right	1	2	1
W. Tchuameni	22	193.04	88	ST	Cameroon	58	66	Right	1	3	2
V. Arveladze	21	182.88	73	ST	Georgia	58	64	Right	1	2	2
J. Bird	21	152.4	62.1	CM	England	58	66	Right	1	2	2
Y. Otto	19	154.94	71.2	ST	Germany	58	71	Right	1	3	2
H. Bos	26	172.72	64	CM,CAM	Netherlands	58	60	Right	1	4	2
Y. Bangsow	21	193.04	83.9	GK	Germany	58	69	Right	1	4	1
C. Villalba	20	175.26	71.2	CM	Argentina	58	66	Right	1	3	2
M. Schlegel	22	185.42	74.8	LM,LB	Germany	58	68	Left	1	3	2
Li Shenglong	26	154.94	74.8	ST,RW	China PR	58	60	Right	1	3	2
V. Gendrey	18	152.4	74.8	RB	France	58	70	Right	1	2	2
L. GonzÃ¡lez	21	152.4	73	ST	Argentina	58	68	Right	1	2	2
I. Diallo	22	152.4	73.9	LB	Ivory Coast	58	68	Left	1	3	2
J. Mahon	19	185.42	82.1	CB	Republic of Ireland	58	73	Right	1	4	2
B. Chapman	20	175.26	68.9	CM,RB	England	58	70	Right	1	4	2
G. Kilama	19	154.94	71.2	LB,CDM,CB	Cameroon	58	71	Left	1	3	2
K. Schlotterbeck	21	187.96	83.9	CB	Germany	58	67	Left	1	3	2
A. Talal	22	175.26	68	CDM	Morocco	58	68	Left	1	3	2
M. Awaji	24	185.42	72.1	GK	Saudi Arabia	58	66	Right	1	2	1
J. Italiano	17	170.18	64.9	LM	Australia	58	79	Right	1	2	3
